serverguid,guid,cpuname,oscaption,osversion,cpucaption,osarchitecture,cpuarchitecture
00eb13f0-bd54-11ed-9290-00155da02f20,9b5f1733-74ab-41f8-8824-11f15e179889,,Microsoft Windows 10 專業版,10.0.19044,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,9bf2958c-ebf0-478c-b71a-ff0ffacb63e6,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,9de54fb6-8d54-4aec-a06a-9019fbd6abf0,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,9ed9c818-7f41-4e84-83f5-823da2afa2b2,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,9f0b1e15-3526-4914-8595-c5e7b434ae2b,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,a14973cf-6b00-4604-bfc8-19a7597c6a95,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,a3b5c8a6-6939-4e9d-b4bb-5ed1e6e5b9c2,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,a6df3d87-d287-48ba-8d3f-cd55dde8b0ad,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,a7429fca-0040-4fd6-bcad-a083e5c02512,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,a923b6b6-219e-4b4b-b518-a0ae99e9cd79,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,a9c600bf-c611-4094-9ed1-da11053b8664,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,aa4802a1-7560-44eb-bd6b-76230dc87def,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,aad6b64e-b11b-44f6-b416-ec8b92decadd,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,aaf6c02c-2067-477f-8dde-5fe3a7640c47,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,ac2f502e-4c21-4b23-8bea-0be80ba82c4e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,ac3519c4-af48-4291-8b64-027507e55daf,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,acfcfdfd-eb59-4d6d-8444-e0b8a2a42d4e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,ad1dde3f-f0f4-4f89-bd70-59ca37e9f923,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,ae858563-42f0-42ec-be10-9d691c74301e,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,b31b8441-3746-4bf4-bab0-a2c9c1c6ca28,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,b69d4fac-3be0-4c5b-bae4-6da937ca7a65,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,b6b9dc25-513d-4b4d-b4d1-cedefb372e2b,,Microsoft Windows 10 專業版,10.0.18363,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,b86ecfb2-fb26-447c-b735-48308fdba03c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,b96d94e4-47df-44e4-99a7-a4debb066ca4,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,b9e8f441-522c-4575-85f5-63dffa0a92e2,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,bc9b4387-1e05-4297-8980-35f0b5f39b6f,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,bcab3dd3-b014-4c98-be5a-5dcfb3ce209a,,Microsoft Windows 10 專業版,10.0.19044,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,bcc2379e-ddfd-45ef-9a52-df7f6ac858ac,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
00eb13f0-bd54-11ed-9290-00155da02f20,bdb8f075-f985-4110-a82a-d78e017d1257,,Microsoft Windows 10 專業版,10.0.19044,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,bfd6ee7c-42c2-42b4-910b-c4017f439bb6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,c56169f0-a5fe-48a0-bda6-ee939e99a5a7,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,c7586eee-ef0a-4e35-b7e1-08418daa3d32,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,c8a0087a-d63a-4377-b15b-8ad96d04adff,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,cc769677-35ae-4dfb-ae05-58d98f6ed8f6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,cdf2775f-cda2-4a35-bd3c-278643596235,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d0083ecb-dd53-40d2-9bbf-f92c5f9dc24c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d0146ab3-df07-4b26-86fb-9101f58e8105,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d34c2fd9-0b5e-43fa-b7f1-8a1f49e59b73,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d55aefcd-a325-48d6-acd6-0f11dd61382b,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d5b8f0ea-8f48-4a82-b3d4-05ff0a8013d6,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d74f2f00-0069-408d-a3e8-e9b16835e1e0,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d840adfc-9c81-4ae6-94be-5aea5c6858e9,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,d9b3e072-82c7-4b99-89c7-be81543dd1be,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,db331fb0-70d2-4509-a5c0-389a90f7950c,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,dc232348-e224-4ea1-8af7-a8631d4d8604,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,de7d23de-6af9-4ea9-8396-16983d98a299,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,df304345-8ba0-4c37-8718-45fd1fbda133,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,df83ed55-f1dc-4429-a8fd-79ff501a3e24,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,e235bf8b-3bd8-49fa-8bc2-e522bd20cbeb,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,e45e84d7-81a9-4c2d-9cae-68a96adc126d,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,e58d4be7-44be-4a3d-a41b-b5e8d0de07d1,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,e5ff36d3-85b6-418b-8b68-1a950c675973,,Microsoft Windows 10 企業版 LTSC,10.0.17763,,64 位元,
00eb13f0-bd54-11ed-9290-00155da02f20,e760301c-e1ce-4cd1-88be-40ae872952f0,,Microsoft Windows 7 專業版 ,6.1.7601,,64-bit,
